name	name_va	reg_site_va	id_global_va	getter_va	vtable_va	serializer_va	handler_va	file_off_reg	file_off_name	file_off_getter	file_off_vtable	file_off_serializer_ptr	file_off_handler_ptr	source
ReturnSelectServerVital	0x00F30A98	0x00BEE880	0x01082080	0x005E6960	0x00F304DC	0x005E69F0	0x005F1190	0x007EDC80	0x00B2EE98	0x001E5D60	0x00B2E8DC	0x00B2E8F4	0x00B2E8F8	IMAGE
RunFxSetVital	0x00F30AB0	0x00BEE8A0	0x01082084	0x005E6B00	0x00F30500	0x005E6B80	0x005EF950	0x007EDCA0	0x00B2EEB0	0x001E5F00	0x00B2E900	0x00B2E918	0x00B2E91C	IMAGE
CarryableServiceVital	0x00F30AC0	0x00BEE8C0	0x01082088	0x005E6C10	0x00F30524	0x005E6C20	0x005F1B60	0x007EDCC0	0x00B2EEC0	0x001E6010	0x00B2E924	0x00B2E93C	0x00B2E940	IMAGE
CustomItem	0x00F0B52C	0x00BEE8E0	0x0108208C	0x00427890	0x00F0B954	0x005E6C80	0x00A106C0	0x007EDCE0	0x00B0992C	0x00026C90	0x00B09D54	0x00B09D6C	0x00B09D70	IMAGE
SSConectionStatusChangedVital	0x00F30AD8	0x00BEE900	0x01082090	0x005E4900	0x00F300C8	0x00729790	0x005F1C40	0x007EDD00	0x00B2EED8	0x001E3D00	0x00B2E4C8	0x00B2E4E0	0x00B2E4E4	IMAGE
ShowMessageVital	0x00F30AF8	0x00BEE920	0x01082094	0x005E4990	0x00F300EC	0x005E6D00	0x005EFA70	0x007EDD20	0x00B2EEF8	0x001E3D90	0x00B2E4EC	0x00B2E504	0x00B2E508	IMAGE
TargetVital	0x00F30B0C	0x00BEE940	0x01082098	0x0051DF10	0x00F1FEBC	0x0072A4D0	0x00A106C0	0x007EDD40	0x00B2EF0C	0x0011D310	0x00B1E2BC	0x00B1E2D4	0x00B1E2D8	IMAGE
FriendExtendNumVital	0x00F30B18	0x00BEE960	0x0108209C	0x005E4A20	0x00F30110	0x005E6D30	0x005EFAA0	0x007EDD60	0x00B2EF18	0x001E3E20	0x00B2E510	0x00B2E528	0x00B2E52C	IMAGE
GSCN_DrawComplimentaryItemVital	0x00F30B30	0x00BEE980	0x010820A0	0x005735D0	0x00F28768	0x005E6D90	0x005F1D10	0x007EDD80	0x00B2EF30	0x001729D0	0x00B26B68	0x00B26B80	0x00B26B84	IMAGE
SetItemOnParticularHotKeyPosVital	0x00F30B50	0x00BEE9A0	0x010820A4	0x005E4A40	0x00F30134	0x005E6DE0	0x005EFAF0	0x007EDDA0	0x00B2EF50	0x001E3E40	0x00B2E534	0x00B2E54C	0x00B2E550	IMAGE
COnLandVital	0x00F30B74	0x00BEE9C0	0x010820A8	0x005E6EA0	0x00F30548	0x005E6EB0	0x00710440	0x007EDDC0	0x00B2EF74	0x001E62A0	0x00B2E948	0x00B2E960	0x00B2E964	IMAGE
SwitchServerReplyVital_New	0x00F30B84	0x00BEE9E0	0x010820AC	0x005E6FF0	0x00F3056C	0x005E7080	0x005EFB20	0x007EDDE0	0x00B2EF84	0x001E63F0	0x00B2E96C	0x00B2E984	0x00B2E988	IMAGE
GSCN_GetGameWorldData	0x00F30BA0	0x00BEEA00	0x010820B0	0x005E7170	0x00F30590	0x005EF4D0	0x005F1D50	0x007EDE00	0x00B2EFA0	0x001E6570	0x00B2E990	0x00B2E9A8	0x00B2E9AC	IMAGE
GSCN_ClientExecuteSQL	0x00F30BB8	0x00BEEA20	0x010820B4	0x005E7280	0x00F305B4	0x005E7300	0x00710440	0x007EDE20	0x00B2EFB8	0x001E6680	0x00B2E9B4	0x00B2E9CC	0x00B2E9D0	IMAGE
LSCN_Protocol	0x00F30D54	0x00BEFD90	0x01082304	0x005F2640	0x00F30D34	0x005E36D0	0x005F2760	0x007EF190	0x00B2F154	0x001F1A40	0x00B2F134	0x00B2F14C	0x00B2F150	IMAGE
LSCN_LoginVitalReq	0x00F0B084	0x00BEFDF0	0x01082344	0x004C5120	0x00F16B34	0x005F2780	0x00710440	0x007EF1F0	0x00B09484	0x000C4520	0x00B14F34	0x00B14F4C	0x00B14F50	IMAGE
