source	evidence_id	relative_path	size	sha256	document_kind	parse_status	root_tag	element_count	record_tag	record_count	attribute_names	parser_detail
DATA	DATA-1839	Data/Scene/Save/Bg1033/Sector_0_0/surfaces.xml	481	5F2A5BA4A0DDB81BCCC4F0A08CB7B0844A94761245530309A654831C5AB00CD5	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1840	Data/Scene/Save/Bg1034/Sector_0_0/surfaces.xml	481	E2DB4B091A51DBB916A85E01DAC28564B790B6FC42D624A6F91F19B3432320B3	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1841	Data/Scene/Save/Bg1035/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1842	Data/Scene/Save/Bg1036/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1843	Data/Scene/Save/Bg1037/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1844	Data/Scene/Save/Bg1038/Sector_0_0/surfaces.xml	413	A064E333BA945550D1662CA72C7E53C9934513F766328E18F90B09E6A0961CDC	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1845	Data/Scene/Save/Bg1039/Sector_0_0/surfaces.xml	266	AFA5C6FE00688E2FF4D9A0AD0E2B09E1780F4AC7DA2860E7DD044B3E04DD4458	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1846	Data/Scene/Save/Bg1040/Sector_0_0/surfaces.xml	266	4B7850A0023AFDFA754FB3FC20E73D7EA20CF623102599835B8C2D0E49C3F94C	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1847	Data/Scene/Save/Bg1041/Sector_0_0/surfaces.xml	424	DF58FDDCC39A9704AB4C14DB1F984502EBD7E44A414F2E1CBB728FB1DF91B8BA	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1848	Data/Scene/Save/Bg1042/Sector_0_0/surfaces.xml	665	8033F7D9C4A4E8DBA5E0F0F6D5C6D62AFF5E180536219E5AAC73DB30B941ED6C	SURFACE_MASK_XML	PASS	Block	9	SurfaceMask	8	name,package,position	STANDARD_XML
DATA	DATA-1849	Data/Scene/Save/Bg1043/Sector_0_0/surfaces.xml	481	E70C71EF701C25DC998EB7A7D4DABE013C592C1AC15C60606833A5EF4EB0BD13	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1850	Data/Scene/Save/Bg1044/Sector_0_0/surfaces.xml	481	6C3DAC44C5CCB4622D04FDDFA33619ADC8F438AFA10E78D8BD626F9E38C14AAB	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1851	Data/Scene/Save/Bg1045/Sector_0_0/surfaces.xml	481	DA6FDE2825608FCBEAA5B09B028385D9DB42AEF356C559C61F86C55117F2E8EE	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1852	Data/Scene/Save/Bg1046/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1853	Data/Scene/Save/Bg1047/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1854	Data/Scene/Save/Bg1048/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1855	Data/Scene/Save/Bg1049/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1856	Data/Scene/Save/Bg1050/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1857	Data/Scene/Save/Bg1051/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1858	Data/Scene/Save/Bg1052/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1859	Data/Scene/Save/Bg1053/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1860	Data/Scene/Save/Bg1054/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1861	Data/Scene/Save/Bg1055/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1862	Data/Scene/Save/Bg1056/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1863	Data/Scene/Save/Bg1057/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1864	Data/Scene/Save/Bg1058/Sector_0_0/surfaces.xml	419	6C4B3945C91C5E16F6A31D23D5B7F64EB6100D9E20A64AB66A73BB59A38B2533	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1865	Data/Scene/Save/Bg1059/Sector_0_0/surfaces.xml	419	C5B37A2D1E8175F7C835688331E966772512B70D3450FA7E001969FA63C08228	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1866	Data/Scene/Save/Bg1060/Sector_0_0/surfaces.xml	419	FD8449C42ADD8642C8A2F7265D4E9B6F14E186A614E5646A769D92051E92FEC9	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1867	Data/Scene/Save/Bg1061/Sector_0_0/surfaces.xml	419	FA45357BA0246DBDB7FEF4EC3BE5EA5C02B924B791AB4FD2D98518DE438E7C8C	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1868	Data/Scene/Save/Bg1062/Sector_0_0/surfaces.xml	419	803115D8ED721D748CDE2B016B937ED5B89495CFC75FB58B4EACFF9314DFD7E1	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1869	Data/Scene/Save/Bg1063/Sector_0_0/surfaces.xml	116	A7C833316FFE84EFE921E7ECD55FDE4EA8F3FDC1E53EB410F4F35700B7D7986E	SURFACE_MASK_XML	PASS	Block	2	SurfaceMask	1	name,package,position	STANDARD_XML
DATA	DATA-1870	Data/Scene/Save/Bg1064/Sector_0_0/surfaces.xml	116	47658A628C6ED856F3467FE63A3ED529A40B6A2F4CF6F7006B5F4DA52FF9A478	SURFACE_MASK_XML	PASS	Block	2	SurfaceMask	1	name,package,position	STANDARD_XML
DATA	DATA-1871	Data/Scene/Save/Bg1065/Sector_0_0/surfaces.xml	266	20D02EE3CF7689D743990B26D8CDF56E759D3B10DABA4D8791156AE2D8173B4B	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1872	Data/Scene/Save/Bg1066/Sector_0_0/surfaces.xml	266	08A00B394FCAD57B7F9068C618A3CB9175A4A7C77DFDF9D9C3B4E211985E412A	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1873	Data/Scene/Save/Bg1067/Sector_0_0/surfaces.xml	266	FE167283628E0C24B1C65D77F5524990DA33D0F4C013C1F6D8DAB6D952065DB4	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1874	Data/Scene/Save/Bg1068/Sector_0_0/surfaces.xml	424	0E54F32C20161F9E5640EDA1E81A9215B755F7B023D19C335F5D326A230A6662	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1875	Data/Scene/Save/Bg1069/Sector_0_0/surfaces.xml	424	D4854182488A4CF8F8E1C3EFE1A8DBA2D538EA3051BD719D65614CE38F8D6E84	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
